Index Nabijacky;Index Udalosti;Cas Zaciatku;Cas Konca;CasTrvania;Miesto;Rychlost nabijania
0;0;243;329;86;25;2.0
0;1;329;335;6;25;2.0
0;2;335;350;15;25;2.0
0;3;350;355;5;25;2.0
0;4;355;358;3;25;2.0
0;5;358;368;10;25;2.0
0;6;368;369;1;25;2.0
0;7;369;383;14;25;2.0
0;8;383;388;5;25;2.0
0;9;388;390;2;25;2.0
0;10;390;405;15;25;2.0
0;11;405;418;13;25;2.0
0;12;418;422;4;25;2.0
0;13;422;426;4;25;2.0
0;14;426;428;2;25;2.0
0;15;428;448;20;25;2.0
0;16;448;450;2;25;2.0
0;17;450;451;1;25;2.0
0;18;451;460;9;25;2.0
0;19;460;465;5;25;2.0
0;20;465;480;15;25;2.0
0;21;480;483;3;25;2.0
0;22;483;496;13;25;2.0
0;23;496;500;4;25;2.0
0;24;500;513;13;25;2.0
0;25;513;548;35;25;2.0
0;26;548;589;41;25;2.0
0;27;589;591;2;25;2.0
0;28;591;616;25;25;2.0
0;29;616;628;12;25;2.0
0;30;628;659;31;25;2.0
0;31;659;680;21;25;2.0
0;32;680;711;31;25;2.0
0;33;711;724;13;25;2.0
0;34;724;736;12;25;2.0
0;35;736;748;12;25;2.0
0;36;748;761;13;25;2.0
0;37;761;794;33;25;2.0
0;38;794;816;22;25;2.0
0;39;816;831;15;25;2.0
0;40;831;836;5;25;2.0
0;41;836;849;13;25;2.0
0;42;849;864;15;25;2.0
0;43;864;878;14;25;2.0
0;44;878;879;1;25;2.0
0;45;879;881;2;25;2.0
0;46;881;886;5;25;2.0
0;47;886;898;12;25;2.0
0;48;898;909;11;25;2.0
0;49;909;911;2;25;2.0
0;50;911;921;10;25;2.0
0;51;921;928;7;25;2.0
0;52;928;941;13;25;2.0
0;53;941;944;3;25;2.0
0;54;944;958;14;25;2.0
0;55;958;969;11;25;2.0
0;56;969;971;2;25;2.0
0;57;971;979;8;25;2.0
0;58;979;1001;22;25;2.0
0;59;1001;1018;17;25;2.0
0;60;1018;1029;11;25;2.0
0;61;1029;1031;2;25;2.0
0;62;1031;1061;30;25;2.0
0;63;1061;1064;3;25;2.0
0;64;1064;1086;22;25;2.0
0;65;1086;1092;6;25;2.0
0;66;1092;1099;7;25;2.0
0;67;1099;1121;22;25;2.0
0;68;1121;1145;24;25;2.0
0;69;1145;1175;30;25;2.0
0;70;1175;1216;41;25;2.0
0;71;1216;1222;6;25;2.0
0;72;1222;1265;43;25;2.0
