Index Nabijacky;Index Udalosti;Cas Zaciatku;Cas Konca;CasTrvania;Miesto;Rychlost nabijania
0;0;243;332;89;25;2.0
0;1;332;341;9;25;2.0
0;2;341;347;6;25;2.0
0;3;347;356;9;25;2.0
0;4;356;362;6;25;2.0
0;5;362;369;7;25;2.0
0;6;369;376;7;25;2.0
0;7;376;381;5;25;2.0
0;8;381;386;5;25;2.0
0;9;386;391;5;25;2.0
0;10;391;396;5;25;2.0
0;11;396;401;5;25;2.0
0;12;401;406;5;25;2.0
0;13;406;411;5;25;2.0
0;14;411;416;5;25;2.0
0;15;416;421;5;25;2.0
0;16;421;426;5;25;2.0
0;17;426;431;5;25;2.0
0;18;431;436;5;25;2.0
0;19;436;441;5;25;2.0
0;20;441;446;5;25;2.0
0;21;446;451;5;25;2.0
0;22;451;456;5;25;2.0
0;23;456;461;5;25;2.0
0;24;461;466;5;25;2.0
0;25;466;471;5;25;2.0
0;26;471;476;5;25;2.0
0;27;476;481;5;25;2.0
0;28;481;486;5;25;2.0
0;29;486;491;5;25;2.0
0;30;491;506;15;25;2.0
0;31;506;523;17;25;2.0
0;32;523;526;3;25;2.0
0;33;526;541;15;25;2.0
0;34;541;546;5;25;2.0
0;35;546;561;15;25;2.0
0;36;561;566;5;25;2.0
0;37;566;581;15;25;2.0
0;38;581;586;5;25;2.0
0;39;586;601;15;25;2.0
0;40;601;606;5;25;2.0
0;41;606;621;15;25;2.0
0;42;621;626;5;25;2.0
0;43;626;641;15;25;2.0
0;44;641;646;5;25;2.0
0;45;646;661;15;25;2.0
0;46;661;666;5;25;2.0
0;47;666;681;15;25;2.0
0;48;681;686;5;25;2.0
0;49;686;701;15;25;2.0
0;50;701;706;5;25;2.0
0;51;706;721;15;25;2.0
0;52;721;726;5;25;2.0
0;53;726;741;15;25;2.0
0;54;741;746;5;25;2.0
0;55;746;761;15;25;2.0
0;56;761;766;5;25;2.0
0;57;766;781;15;25;2.0
0;58;781;786;5;25;2.0
0;59;786;796;10;25;2.0
0;60;796;801;5;25;2.0
0;61;801;806;5;25;2.0
0;62;806;816;10;25;2.0
0;63;816;821;5;25;2.0
0;64;821;826;5;25;2.0
0;65;826;836;10;25;2.0
0;66;836;841;5;25;2.0
0;67;841;846;5;25;2.0
0;68;846;851;5;25;2.0
0;69;851;856;5;25;2.0
0;70;856;861;5;25;2.0
0;71;861;866;5;25;2.0
0;72;866;871;5;25;2.0
0;73;871;876;5;25;2.0
0;74;876;881;5;25;2.0
0;75;881;886;5;25;2.0
0;76;886;891;5;25;2.0
0;77;891;896;5;25;2.0
