Index;ID;Spoj;Linka;ZastavkaStart;ZastavkaFinish;CasStart;CasFinish;Trvanie;Vzdialenost;Spotreba
0;"0";"1000";"0";28;28;240;240;0;0.0;0.0
1;"683";"586";"22";11;160;295;326;31;11.48;17.2
2;"886";"126";"27";115;49;295;325;30;11.856;17.8
3;"620";"72";"22";160;11;297;326;29;11.288;16.9
4;"589";"482";"21";43;1;301;324;23;7.961;11.9
5;"595";"497";"21";1;43;305;327;22;7.881;11.8
6;"925";"596";"27";25;115;306;324;18;7.217;10.8
7;"614";"34";"22";160;11;308;337;29;11.288;16.9
8;"879";"106";"27";115;49;310;340;30;11.856;17.8
9;"544";"374";"21";1;45;315;338;23;8.468;12.7
10;"576";"452";"21";43;1;316;339;23;7.961;11.9
11;"602";"4";"22";11;160;320;350;30;11.48;17.2
12;"633";"130";"22";42;160;323;340;17;6.139;9.2
13;"926";"598";"27";115;49;325;355;30;11.856;17.8
14;"891";"192";"27";25;115;326;344;18;7.217;10.8
15;"887";"128";"27";49;115;327;359;32;12.888;19.3
16;"684";"588";"22";160;11;328;357;29;11.288;16.9
17;"621";"74";"22";11;160;329;359;30;11.48;17.2
18;"590";"484";"21";1;45;330;353;23;8.468;12.7
19;"596";"499";"21";43;1;331;354;23;7.961;11.9
20;"892";"194";"27";115;49;345;375;30;11.856;17.8
21;"880";"108";"27";49;115;347;379;32;12.888;19.3
22;"634";"132";"22";160;11;348;377;29;11.288;16.9
23;"615";"36";"22";11;160;350;380;30;11.48;17.2
24;"603";"6";"22";160;11;359;388;29;11.288;16.9
25;"545";"376";"21";45;1;360;384;24;8.431;12.6
26;"888";"130";"27";115;49;360;390;30;11.856;17.8
27;"577";"454";"21";1;45;361;384;23;8.468;12.7
28;"927";"600";"27";49;115;362;394;32;12.888;19.3
29;"685";"590";"22";11;160;365;395;30;11.48;17.2
30;"622";"76";"22";160;11;367;396;29;11.288;16.9
31;"591";"486";"21";45;1;375;399;24;8.431;12.6
32;"597";"501";"21";1;45;378;401;23;8.468;12.7
33;"635";"134";"22";11;160;380;410;30;11.48;17.2
34;"881";"110";"27";115;49;380;410;30;11.856;17.8
35;"893";"196";"27";49;115;382;414;32;12.888;19.3
36;"546";"378";"21";1;45;388;411;23;8.468;12.7
37;"616";"38";"22";160;11;388;417;29;11.288;16.9
38;"578";"456";"21";45;1;390;414;24;8.431;12.6
39;"604";"8";"22";11;160;390;420;30;11.48;17.2
40;"928";"602";"27";115;25;395;415;20;7.885;11.8
41;"889";"132";"27";49;115;397;429;32;12.888;19.3
42;"686";"592";"22";160;11;398;427;29;11.288;16.9
43;"592";"488";"21";1;45;405;428;23;8.468;12.7
44;"598";"503";"21";45;1;405;429;24;8.431;12.6
45;"623";"78";"22";11;160;409;439;30;11.48;17.2
46;"636";"136";"22";160;11;413;442;29;11.288;16.9
47;"894";"198";"27";115;49;415;445;30;11.856;17.8
48;"882";"112";"27";49;115;417;449;32;12.888;19.3
49;"547";"380";"21";45;1;420;444;24;8.431;12.6
50;"579";"458";"21";1;45;420;443;23;8.468;12.7
51;"929";"606";"27";25;115;421;439;18;7.217;10.8
52;"605";"10";"22";160;11;428;457;29;11.288;16.9
53;"617";"40";"22";11;160;430;460;30;11.48;17.2
54;"890";"134";"27";115;25;430;450;20;7.885;11.8
55;"593";"490";"21";45;1;435;459;24;8.431;12.6
56;"599";"505";"21";1;45;435;458;23;8.468;12.7
57;"687";"594";"22";11;160;440;470;30;11.48;17.2
58;"930";"608";"27";115;25;440;460;20;7.885;11.8
59;"637";"138";"22";11;160;445;475;30;11.48;17.2
60;"624";"80";"22";160;42;447;465;18;6.423;9.6
61;"548";"382";"21";1;45;450;473;23;8.468;12.7
62;"580";"460";"21";45;1;450;474;24;8.431;12.6
63;"883";"114";"27";115;25;450;470;20;7.885;11.8
64;"895";"200";"27";49;115;452;484;32;12.888;19.3
65;"594";"492";"21";1;25;465;479;14;4.125;6.2
66;"600";"507";"21";45;1;465;489;24;8.431;12.6
67;"618";"42";"22";160;11;468;497;29;11.288;16.9
68;"549";"384";"21";45;25;480;491;11;3.423;5.1
69;"606";"12";"22";11;160;480;510;30;11.48;17.2
70;"581";"462";"21";1;43;485;507;22;7.881;11.8
71;"914";"453";"27";49;25;487;501;14;5.053;7.6
72;"896";"202";"27";115;25;490;510;20;7.885;11.8
73;"884";"119";"27";25;115;496;514;18;7.217;10.8
74;"619";"44";"22";11;42;510;523;13;4.499;6.7
75;"688";"598";"22";160;11;513;542;29;11.288;16.9
76;"915";"457";"27";25;49;515;525;10;3.236;4.9
77;"601";"509";"21";1;25;520;534;14;4.125;6.2
78;"885";"121";"27";115;25;520;540;20;7.885;11.8
79;"582";"464";"21";43;4;521;542;21;7.049;10.6
80;"916";"459";"27";49;25;532;546;14;5.053;7.6
81;"550";"388";"21";25;43;539;547;8;3.0;4.5
82;"607";"16";"22";160;11;548;577;29;11.288;16.9
83;"689";"600";"22";11;160;550;580;30;11.48;17.2
84;"897";"207";"27";25;115;551;569;18;7.217;10.8
85;"551";"390";"21";43;1;561;584;23;7.961;11.9
86;"583";"466";"21";4;43;562;582;20;7.009;10.5
87;"898";"209";"27";115;25;570;590;20;7.885;11.8
88;"608";"18";"22";11;160;585;615;30;11.48;17.2
89;"690";"602";"22";160;11;588;617;29;11.288;16.9
90;"584";"468";"21";43;4;601;622;21;7.049;10.6
91;"899";"213";"27";25;115;601;619;18;7.217;10.8
92;"552";"392";"21";1;43;605;627;22;7.881;11.8
93;"609";"20";"22";160;11;618;647;29;11.288;16.9
94;"691";"604";"22";11;160;620;650;30;11.48;17.2
95;"900";"215";"27";115;49;620;650;30;11.856;17.8
96;"553";"394";"21";43;1;641;664;23;7.961;11.9
97;"585";"470";"21";4;43;647;667;20;7.009;10.5
98;"610";"22";"22";11;160;655;685;30;11.48;17.2
99;"901";"217";"27";49;115;657;689;32;12.888;19.3
