Index;ID;Spoj;Linka;ZastavkaStart;ZastavkaFinish;CasStart;CasFinish;Trvanie;Vzdialenost;Spotreba
0;"0";"1000";"0";28;28;240;240;0;0.0;0.0
1;"423";"79";"14";93;92;289;328;39;11.993;18.0
2;"109";"93";"4";92;93;297;336;39;12.358;18.5
3;"421";"69";"14";93;92;303;343;40;11.993;18.0
4;"142";"202";"4";92;93;312;351;39;12.358;18.5
5;"449";"148";"14";93;92;318;358;40;11.993;18.0
6;"79";"6";"4";92;93;325;364;39;12.358;18.5
7;"447";"140";"14";93;92;332;372;40;11.993;18.0
8;"141";"196";"4";92;93;337;376;39;12.358;18.5
9;"433";"101";"14";93;92;342;382;40;11.993;18.0
10;"106";"82";"4";92;93;347;386;39;12.358;18.5
11;"458";"297";"14";93;92;352;392;40;11.993;18.0
12;"108";"89";"4";92;93;357;396;39;12.358;18.5
13;"445";"134";"14";93;92;362;402;40;11.993;18.0
14;"129";"151";"4";92;93;367;406;39;12.358;18.5
15;"420";"65";"14";93;92;372;412;40;11.993;18.0
16;"93";"48";"4";92;93;377;416;39;12.358;18.5
17;"422";"75";"14";93;92;382;422;40;11.993;18.0
18;"104";"77";"4";92;93;387;426;39;12.358;18.5
19;"399";"6";"14";93;92;392;432;40;11.993;18.0
20;"147";"318";"4";92;93;397;436;39;12.358;18.5
21;"397";"2";"14";93;92;402;442;40;11.993;18.0
22;"131";"156";"4";92;93;407;446;39;12.358;18.5
23;"398";"4";"14";93;92;412;452;40;11.993;18.0
24;"107";"84";"4";92;93;417;456;39;12.358;18.5
25;"400";"8";"14";93;92;422;462;40;11.993;18.0
26;"82";"13";"4";92;93;427;466;39;12.358;18.5
27;"401";"10";"14";93;92;432;472;40;11.993;18.0
28;"112";"101";"4";92;93;437;476;39;12.358;18.5
29;"402";"12";"14";93;92;442;482;40;11.993;18.0
30;"83";"15";"4";92;93;447;486;39;12.358;18.5
31;"85";"22";"4";92;93;462;501;39;12.358;18.5
32;"403";"14";"14";93;92;462;502;40;11.993;18.0
33;"86";"26";"4";92;93;479;518;39;12.358;18.5
34;"404";"16";"14";93;92;482;522;40;11.993;18.0
35;"84";"18";"4";92;93;497;536;39;12.358;18.5
36;"405";"18";"14";93;92;502;542;40;11.993;18.0
37;"88";"32";"4";92;93;517;556;39;12.358;18.5
38;"454";"166";"14";93;92;522;562;40;11.993;18.0
39;"87";"30";"4";92;93;537;576;39;12.358;18.5
40;"406";"20";"14";93;92;542;582;40;11.993;18.0
41;"90";"38";"4";92;93;557;596;39;12.358;18.5
42;"408";"28";"14";93;92;562;602;40;11.993;18.0
43;"89";"36";"4";92;93;577;616;39;12.358;18.5
44;"409";"32";"14";93;92;582;622;40;11.993;18.0
45;"91";"40";"4";92;93;597;636;39;12.358;18.5
46;"410";"34";"14";93;92;602;642;40;11.993;18.0
47;"121";"125";"4";92;93;617;656;39;12.358;18.5
48;"412";"42";"14";93;92;622;662;40;11.993;18.0
49;"94";"54";"4";92;93;637;676;39;12.358;18.5
50;"411";"40";"14";93;92;642;682;40;11.993;18.0
51;"96";"58";"4";92;93;657;696;39;12.358;18.5
52;"413";"44";"14";93;92;662;702;40;11.993;18.0
53;"97";"60";"4";92;93;677;716;39;12.358;18.5
54;"415";"52";"14";93;92;682;722;40;11.993;18.0
55;"98";"62";"4";92;93;697;736;39;12.358;18.5
56;"416";"54";"14";93;92;702;742;40;11.993;18.0
57;"99";"64";"4";92;93;717;756;39;12.358;18.5
58;"417";"56";"14";93;92;722;762;40;11.993;18.0
59;"101";"68";"4";92;93;737;776;39;12.358;18.5
60;"463";"397";"14";93;92;742;782;40;11.993;18.0
61;"441";"125";"14";93;92;752;792;40;11.993;18.0
62;"102";"71";"4";92;93;757;796;39;12.358;18.5
63;"419";"60";"14";93;92;762;802;40;11.993;18.0
64;"459";"301";"14";93;92;772;812;40;11.993;18.0
65;"103";"74";"4";92;93;777;816;39;12.358;18.5
66;"407";"26";"14";93;92;782;822;40;11.993;18.0
67;"464";"400";"14";93;92;792;832;40;11.993;18.0
68;"80";"9";"4";92;93;797;836;39;12.358;18.5
69;"461";"315";"14";93;92;802;842;40;11.993;18.0
70;"148";"464";"4";92;93;807;846;39;12.358;18.5
71;"457";"180";"14";93;92;812;852;40;11.993;18.0
72;"92";"46";"4";92;93;817;856;39;12.358;18.5
73;"460";"304";"14";93;92;822;862;40;11.993;18.0
74;"146";"304";"4";92;93;827;866;39;12.358;18.5
75;"455";"169";"14";93;92;832;872;40;11.993;18.0
76;"105";"80";"4";92;93;837;876;39;12.358;18.5
77;"443";"130";"14";93;92;842;882;40;11.993;18.0
78;"130";"154";"4";92;93;847;886;39;12.358;18.5
79;"456";"177";"14";93;92;852;892;40;11.993;18.0
80;"128";"143";"4";92;93;857;896;39;12.358;18.5
81;"418";"58";"14";93;92;862;902;40;11.993;18.0
82;"100";"66";"4";92;93;867;906;39;12.358;18.5
83;"414";"46";"14";93;92;872;912;40;11.993;18.0
84;"140";"193";"4";92;93;877;916;39;12.358;18.5
85;"452";"156";"14";93;92;882;922;40;11.993;18.0
86;"138";"179";"4";92;93;887;926;39;12.358;18.5
87;"424";"81";"14";93;92;892;932;40;11.993;18.0
88;"95";"56";"4";92;93;897;936;39;12.358;18.5
89;"429";"93";"14";93;92;902;942;40;11.993;18.0
90;"110";"97";"4";92;93;907;946;39;12.358;18.5
91;"426";"87";"14";93;92;912;952;40;11.993;18.0
92;"111";"99";"4";92;93;917;956;39;12.358;18.5
93;"427";"89";"14";93;92;922;962;40;11.993;18.0
94;"139";"187";"4";92;93;927;966;39;12.358;18.5
95;"428";"91";"14";93;92;932;972;40;11.993;18.0
96;"113";"103";"4";92;93;937;976;39;12.358;18.5
97;"425";"83";"14";93;92;942;982;40;11.993;18.0
98;"114";"105";"4";92;93;947;986;39;12.358;18.5
99;"430";"95";"14";93;92;952;992;40;11.993;18.0
100;"144";"297";"4";92;93;957;996;39;12.358;18.5
101;"431";"97";"14";93;92;962;1002;40;11.993;18.0
102;"115";"107";"4";92;93;967;1006;39;12.358;18.5
103;"432";"99";"14";93;92;972;1012;40;11.993;18.0
104;"116";"109";"4";92;93;982;1021;39;12.358;18.5
105;"465";"413";"14";93;92;987;1027;40;11.993;18.0
106;"145";"301";"4";92;93;997;1036;39;12.358;18.5
107;"434";"103";"14";93;92;1002;1042;40;11.993;18.0
108;"119";"117";"4";92;93;1012;1051;39;12.358;18.5
109;"436";"107";"14";93;92;1017;1057;40;11.993;18.0
110;"81";"11";"4";92;93;1027;1066;39;12.358;18.5
111;"435";"105";"14";93;92;1032;1072;40;11.993;18.0
112;"120";"119";"4";92;93;1042;1081;39;12.358;18.5
113;"438";"117";"14";93;92;1047;1087;40;11.993;18.0
114;"117";"111";"4";92;93;1057;1096;39;12.358;18.5
115;"437";"109";"14";93;92;1062;1102;40;11.993;18.0
116;"123";"131";"4";92;93;1072;1111;39;12.358;18.5
117;"466";"429";"14";93;92;1077;1114;37;11.993;18.0
118;"122";"127";"4";92;93;1087;1123;36;12.358;18.5
119;"440";"123";"14";93;92;1092;1129;37;11.993;18.0
120;"124";"133";"4";92;93;1102;1138;36;12.358;18.5
121;"468";"457";"14";93;92;1107;1144;37;11.993;18.0
122;"118";"115";"4";92;93;1117;1153;36;12.358;18.5
123;"467";"433";"14";93;92;1122;1159;37;11.993;18.0
124;"127";"141";"4";92;93;1137;1173;36;12.358;18.5
125;"439";"121";"14";93;92;1142;1179;37;11.993;18.0
126;"125";"137";"4";92;93;1157;1193;36;12.358;18.5
127;"444";"132";"14";93;92;1162;1199;37;11.993;18.0
128;"126";"139";"4";92;93;1177;1213;36;12.358;18.5
129;"446";"136";"14";93;92;1187;1224;37;11.993;18.0
130;"132";"158";"4";92;93;1197;1233;36;12.358;18.5
131;"450";"150";"14";93;92;1212;1249;37;11.993;18.0
132;"133";"160";"4";92;93;1222;1258;36;12.358;18.5
133;"442";"128";"14";93;92;1237;1274;37;11.993;18.0
134;"136";"175";"4";92;93;1247;1283;36;12.358;18.5
135;"448";"142";"14";93;92;1262;1299;37;11.993;18.0
136;"137";"177";"4";92;93;1272;1308;36;12.358;18.5
137;"453";"158";"14";93;92;1282;1319;37;11.993;18.0
138;"134";"162";"4";92;93;1297;1333;36;12.358;18.5
139;"451";"152";"14";93;92;1302;1339;37;11.993;18.0
140;"462";"379";"14";93;92;1323;1360;37;11.993;18.0
141;"143";"271";"4";92;93;1325;1361;36;12.358;18.5
142;"135";"165";"4";92;93;1342;1378;36;12.358;18.5
143;"0";"1000";"0";28;28;1680;1680;0;0.0;0.0
