ID_zastavka;Nazov_zastavka;Lat;Lon
1;Bánová, Colnica;49.1921683;18.720756
2;Jedľová;49.2078266;18.7211904
3;K cintorínu;49.1951185;18.7198381
4;Námestie.Sv. J. Bosca;49.1994907;18.7216724
5;Oslobodenia;49.2030367;18.7216848
6;Rudnayova;49.2033575;18.7404136
7;Tajovského;49.2108378;18.7439918
8;Tulipánová;49.2071811;18.7425826
9;Vysokoškolákov, plaváreň;49.2131034;18.7502114
10;Brodňanská;49.25772;18.7512108
11;Brodno;49.2549074;18.7565045
12;Koliba;49.25016452628298;18.74468372315455
13;Zábrežná;49.2541043;18.7492617
14;Dolná;49.2289803;18.7534553
15;Letná;49.2413256;18.7484429
16;Na lány;49.2382876;18.7408963
17;Námestie hrdinov;49.2358481;18.7377054
18;Kultúrny dom;49.1847132;18.732966
19;Na stanicu;49.1887201;18.73377
20;Pažite;49.1941983;18.7345688
21;Bratislavská;49.2302073;18.730367
22;Cestárska;49.226933;18.7187985
23;Hálkova;49.2194763;18.7336943
24;Hollého;49.2277375;18.7330715
25;Hurbanova;49.2259571;18.7408447
27;Komenského;49.2177584;18.7379852
28;Košická, TESCO hyp.;49.2195149;18.7570234
29;Kragujevská;49.2275245;18.7227916
30;Kysucká;49.2301619;18.7404993
31;Na Horevaží, TESCO hyper.;49.22112570292232;18.759752339975787
33;Polícia;49.2213061;18.7371201
34;Predmestská;49.2198666;18.7483178
35;Priemyselná;49.2221802;18.7221122
36;Rázusova;49.2239084;18.7317791
37;Spanyolova, nemocnica;49.2178656;18.7436876
38;Štefánikovo námestie;49.2229401;18.7469432
39;Veľká okružná, AUPARK;49.2193176;18.740844
40;Veľká okružná;49.2227537;18.7346885
41;Závodská;49.2161119;18.7263785
42;Železničná stanica;49.2259969;18.747791
43;Bytčianska;49.2424465;18.7171717
44;Bytčianska, STS;49.2407622;18.724596
45;Chlmecká;49.2437985;18.7117415
46;Pri Kysuci;49.240029;18.7328085
47;Pri celulózke;49.2164231;18.769205
49;Stodolova;49.2155979;18.7091792
50;Hlinská;49.2095803;18.7359326
51;Mostná;49.2147422;18.7377502
52;Poľná;49.2068972;18.7347497
53;Rajecká, ELV;49.2043601;18.7331209
54;Rajecká, Stavomontáže;49.2104788;18.7319609
55;Saleziánska;49.2130612;18.7313391
56;Kamenná, Domáce potreby;49.1987476;18.7272074
57;Kamenná, Kovošrot;49.1951195;18.7277744
58;Kamenná, PRIUS;49.1929768;18.727354
60;Kamenná, obchodné centrum;49.2030275;18.7273211
62;Rajecká, mliekarne;49.19866;18.7340379
63;Asanačný podnik;49.1909608;18.8254471
64;HYZA;49.1975817;18.8042117
66;Rybné námestie;49.1949869;18.8110829
67;Furdekova;49.2313025;18.7119381
68;Oceliarska;49.2293273;18.7191688
69;Bagarova;49.2076613;18.7764543
70;Motel Šibenice;49.2024815;18.7933462
71;Rosinky;49.2112547;18.7732331
72;Rosinská, VÚVT;49.2000711;18.7681452
73;Rosinská, plem. podnik;49.2034632;18.7702049
74;Šibenice, STK;49.208303;18.7851597
75;Zvolenská;49.2089458;18.7726508
76;Centrálna;49.2019012;18.7373139
77;Jaseňová;49.1990469;18.745753
78;Limbová;49.1962686;18.7404986
79;Smreková;49.1991627;18.7346273
81;Hričovská;49.2293425;18.7103799
82;Priehradná;49.2336921;18.7081037
83;Prieložná;49.2352813;18.7018011
84;Cintorínska;49.1923579;18.7861512
85;Dolná Trnovská;49.1990447;18.7817389
86;Horná Trnovská;49.1874932;18.7960914
87;Magočovská;49.1839489;18.7986122
88;Ovocinárska;49.190452;18.7900841
89;Potoky;49.1963437;18.7834538
90;Rakové;49.2036674;18.7787971
91;Žilinská univerzita;49.2015776;18.7543278
92;Fatranská;49.2046143;18.7630117
93;Matice slovenskej;49.209353;18.7658309
94;Obchodná;49.2108238;18.7599662
95;Poštová;49.2131932;18.7575639
96;Sv. Cyrila a Metoda;49.2137701;18.7620281
98;Jastrabia;49.2534683;18.7426743
99;Vrania;49.2576174;18.7413466
100;Budatínska;49.2407425;18.7624002
101;Údolná;49.2401753;18.7696038
102;Prípojná;49.2388109;18.7760955
103;Kortinská;49.2451273;18.6786169
104;Pod Kozinom;49.242564;18.6909311
105;Pod záhradkou;49.2480409;18.6759964
106;Priehrada;49.2546309;18.6777774
107;Rázcestie Hričov;49.2556392;18.6700794
109;Na Straník;49.2391034;18.8127416
110;Salaš;49.2394973;18.8000925
112;Kvačalova, DPMŽ;49.2224253;18.719666
113;Na chotári;49.2396049;18.8083565
114;Pietna, Krematórium;49.2250267;18.7130239
115;Zástranie, Stará dedina;49.2428926;18.8175983
116;Pod vinicou;49.2181863;18.7159196
119;Carrefour;49.211093;18.7513299
120;Mateja Bela;49.2092549;18.7119863
122;Slnečné námestie;49.2131755;18.7123891
123;Hôrecká;49.2096429;18.7179397
124;Závodského;49.2140768;18.7217856
125;Žitná;49.2108812;18.7209046
126;Pod hájom;49.202229;18.7453891
140;Bánovská cesta;49.2091153;18.7259755
159;Žilinská Lehota;49.2442527;18.6802345
160;Bytčica;49.178968;18.7274955
162;Internátna;49.2103978;18.7538504
164;Farebná;49.24119;18.7540259
200;KIA site;49.2159002;18.8077717
202;Mobis;49.2120447;18.8394291
207;Autobusové nástupište;49.2251916;18.7483235
230;Bernolákova;49.2138081;18.7412919
289;Vzdelávacie centrum;49.2156936;18.8426489
290;Varín, žel. stanica;49.2019913;18.8481453
300;Hviezdoslavova;49.2236549;18.7573442
501;Univerzitná;49.2033778;18.7544152
