Index;ID;Spoj;Linka;ZastavkaStart;ZastavkaFinish;CasStart;CasFinish;Trvanie;Vzdialenost;Spotreba
0;"0";"1000";"0";28;28;240;240;0;0.0;0.0
1;"798";"474";"24";82;42;270;280;10;2.976;4.5
2;"423";"79";"14";93;92;289;328;39;11.993;18.0
3;"333";"893";"6";49;93;290;323;33;9.623;14.4
4;"702";"24";"24";87;82;290;320;30;10.53;15.8
5;"710";"45";"24";87;82;290;320;30;10.53;15.8
6;"1";"4";"1";112;112;295;347;52;16.272;24.4
7;"683";"586";"22";11;160;295;326;31;11.48;17.2
8;"886";"126";"27";115;49;295;325;30;11.856;17.8
9;"38";"449";"3";77;77;297;334;37;10.579;15.9
10;"109";"93";"4";92;93;297;336;39;12.358;18.5
11;"495";"18";"20";92;160;297;321;24;9.837;14.8
12;"620";"72";"22";160;11;297;326;29;11.288;16.9
13;"933";"99";"29";159;14;297;325;28;11.702;17.6
14;"362";"66";"7";96;49;299;333;34;11.152;16.7
15;"473";"25";"16";49;49;300;338;38;11.335;17.0
16;"713";"50";"24";82;87;300;330;30;10.317;15.5
17;"589";"482";"21";43;1;301;324;23;7.961;11.9
18;"833";"186";"26";72;58;301;330;29;9.99;15.0
19;"421";"69";"14";93;92;303;343;40;11.993;18.0
20;"264";"60";"6";93;49;305;336;31;9.521;14.3
21;"595";"497";"21";1;43;305;327;22;7.881;11.8
22;"925";"596";"27";25;115;306;324;18;7.217;10.8
23;"1011";"61";"31";42;66;306;320;14;5.729;8.6
24;"1044";"348";"31";66;112;306;332;26;9.546;14.3
25;"614";"34";"22";160;11;308;337;29;11.288;16.9
26;"10";"70";"1";112;93;309;335;26;7.306;11.0
27;"879";"106";"27";115;49;310;340;30;11.856;17.8
28;"50";"489";"3";77;77;312;349;37;10.579;15.9
29;"142";"202";"4";92;93;312;351;39;12.358;18.5
30;"357";"32";"7";49;96;315;350;35;11.216;16.8
31;"544";"374";"21";1;45;315;338;23;8.468;12.7
32;"965";"4";"30";99;99;315;361;46;17.05;25.6
33;"576";"452";"21";43;1;316;339;23;7.961;11.9
34;"816";"78";"26";72;58;316;345;29;9.99;15.0
35;"741";"109";"24";87;82;317;347;30;10.53;15.8
36;"162";"34";"5";77;92;318;345;27;7.371;11.1
37;"449";"148";"14";93;92;318;358;40;11.993;18.0
38;"149";"4";"5";92;77;320;345;25;7.504;11.3
39;"241";"4";"6";49;93;320;353;33;9.623;14.4
40;"602";"4";"22";11;160;320;350;30;11.48;17.2
41;"805";"39";"26";72;58;321;350;29;9.99;15.0
42;"11";"74";"1";112;92;322;351;29;8.325;12.5
43;"361";"44";"7";96;49;322;356;34;11.152;16.7
44;"496";"21";"20";160;160;323;372;49;18.913;28.4
45;"633";"130";"22";42;160;323;340;17;6.139;9.2
46;"79";"6";"4";92;93;325;364;39;12.358;18.5
47;"334";"895";"6";93;49;325;356;31;9.521;14.3
48;"487";"136";"16";49;49;325;363;38;11.335;17.0
49;"704";"26";"24";82;87;325;355;30;10.317;15.5
50;"711";"47";"24";82;87;325;355;30;10.317;15.5
51;"926";"598";"27";115;49;325;355;30;11.856;17.8
52;"508";"98";"20";92;160;326;350;24;9.837;14.8
53;"891";"192";"27";25;115;326;344;18;7.217;10.8
54;"934";"101";"29";14;159;326;358;32;14.148;21.2
55;"42";"463";"3";77;77;327;364;37;10.579;15.9
56;"843";"218";"26";60;72;327;353;26;8.389;12.6
57;"887";"128";"27";49;115;327;359;32;12.888;19.3
58;"684";"588";"22";160;11;328;357;29;11.288;16.9
59;"621";"74";"22";11;160;329;359;30;11.48;17.2
60;"590";"484";"21";1;45;330;353;23;8.468;12.7
61;"596";"499";"21";43;1;331;354;23;7.961;11.9
62;"1012";"63";"31";66;25;331;350;19;6.708;10.1
63;"447";"140";"14";93;92;332;372;40;11.993;18.0
64;"834";"188";"26";58;72;333;363;30;9.569;14.4
65;"715";"52";"24";87;82;335;365;30;10.53;15.8
