Index;ID;Spoj;Linka;ZastavkaStart;ZastavkaFinish;CasStart;CasFinish;Trvanie;Vzdialenost;Spotreba
0;"0";"1000";"0";28;28;240;240;0;0.0;0.0
1;"933";"99";"29";159;14;297;325;28;11.702;17.6
2;"833";"186";"26";72;58;301;330;29;9.99;15.0
3;"816";"78";"26";72;58;316;345;29;9.99;15.0
4;"805";"39";"26";72;58;321;350;29;9.99;15.0
5;"934";"101";"29";14;159;326;358;32;14.148;21.2
6;"843";"218";"26";60;72;327;353;26;8.389;12.6
7;"834";"188";"26";58;72;333;363;30;9.569;14.4
8;"817";"80";"26";58;72;353;383;30;9.569;14.4
9;"844";"222";"26";72;58;356;385;29;9.99;15.0
10;"935";"103";"29";159;42;359;382;23;10.305;15.5
11;"835";"192";"26";72;58;371;400;29;9.99;15.0
12;"806";"41";"26";58;72;383;413;30;9.569;14.4
13;"818";"84";"26";72;58;388;417;29;9.99;15.0
14;"936";"108";"29";42;159;389;415;26;11.047;16.6
15;"845";"224";"26";58;72;393;423;30;9.569;14.4
16;"836";"194";"26";58;72;413;443;30;9.569;14.4
17;"807";"45";"26";72;58;416;445;29;9.99;15.0
18;"937";"110";"29";159;14;419;447;28;11.702;17.6
19;"819";"86";"26";58;72;425;455;30;9.569;14.4
20;"846";"228";"26";72;58;431;460;29;9.99;15.0
21;"837";"198";"26";72;58;446;475;29;9.99;15.0
22;"808";"47";"26";58;72;448;478;30;9.569;14.4
23;"938";"112";"29";14;159;453;485;32;14.148;21.2
24;"847";"230";"26";58;42;483;499;16;4.682;7.0
25;"939";"114";"29";159;42;489;512;23;10.305;15.5
26;"838";"200";"26";58;72;513;543;30;9.569;14.4
27;"940";"119";"29";42;159;554;580;26;11.047;16.6
28;"839";"204";"26";72;58;555;584;29;9.99;15.0
29;"941";"121";"29";159;14;584;612;28;11.702;17.6
30;"840";"206";"26";58;72;593;623;30;9.569;14.4
31;"942";"123";"29";14;42;618;627;9;3.163;4.7
32;"841";"209";"26";72;58;625;654;29;9.99;15.0
33;"842";"211";"26";58;42;663;679;16;4.682;7.0
34;"943";"128";"29";42;159;674;700;26;11.047;16.6
35;"809";"52";"26";72;58;690;719;29;9.99;15.0
36;"944";"130";"29";159;14;704;732;28;11.702;17.6
37;"810";"54";"26";58;72;726;756;30;9.569;14.4
38;"945";"132";"29";14;42;738;747;9;3.163;4.7
39;"811";"58";"26";72;58;760;789;29;9.99;15.0
40;"946";"137";"29";42;159;779;805;26;11.047;16.6
41;"812";"60";"26";58;72;796;826;30;9.569;14.4
42;"947";"139";"29";159;42;807;830;23;10.305;15.5
43;"820";"91";"26";42;58;815;831;16;4.999;7.5
44;"829";"171";"26";72;58;815;844;29;9.99;15.0
45;"848";"234";"26";72;58;830;859;29;9.99;15.0
46;"821";"93";"26";58;72;843;873;30;9.569;14.4
47;"948";"146";"29";42;159;844;870;26;11.047;16.6
48;"813";"65";"26";72;58;845;874;29;9.99;15.0
49;"830";"173";"26";58;72;851;881;30;9.569;14.4
50;"949";"148";"29";159;42;874;897;23;10.305;15.5
51;"822";"96";"26";72;58;875;904;29;9.99;15.0
52;"849";"236";"26";58;72;876;906;30;9.569;14.4
53;"950";"153";"29";42;159;904;930;26;11.047;16.6
54;"814";"67";"26";58;72;906;936;30;9.569;14.4
55;"831";"178";"26";72;58;910;939;29;9.99;15.0
56;"963";"324";"29";42;14;910;917;7;1.734;2.6
57;"964";"326";"29";14;42;918;927;9;3.163;4.7
58;"951";"155";"29";159;42;934;957;23;10.305;15.5
59;"850";"241";"26";72;58;935;964;29;9.99;15.0
60;"823";"98";"26";58;72;936;966;30;9.569;14.4
61;"952";"159";"29";42;159;964;990;26;11.047;16.6
62;"815";"72";"26";72;42;965;978;13;4.404;6.6
63;"832";"180";"26";58;72;966;996;30;9.569;14.4
64;"953";"161";"29";159;42;994;1017;23;10.305;15.5
65;"824";"103";"26";72;58;995;1024;29;9.99;15.0
66;"851";"243";"26";58;72;996;1026;30;9.569;14.4
67;"954";"165";"29";42;159;1024;1050;26;11.047;16.6
68;"825";"105";"26";58;72;1026;1056;30;9.569;14.4
69;"852";"247";"26";72;58;1030;1059;29;9.99;15.0
70;"955";"167";"29";159;14;1054;1082;28;11.702;17.6
71;"956";"169";"29";14;42;1083;1091;8;3.163;4.7
72;"826";"110";"26";72;42;1085;1098;13;4.404;6.6
73;"853";"249";"26";58;72;1086;1116;30;9.569;14.4
74;"957";"173";"29";42;159;1111;1134;23;11.047;16.6
75;"958";"175";"29";159;42;1154;1174;20;10.305;15.5
76;"959";"180";"29";42;14;1205;1212;7;1.734;2.6
77;"960";"182";"29";14;42;1213;1221;8;3.163;4.7
78;"961";"186";"29";42;159;1231;1254;23;11.047;16.6
79;"962";"188";"29";159;42;1259;1279;20;10.305;15.5
80;"827";"165";"26";42;58;1303;1315;12;4.999;7.5
81;"828";"167";"26";58;42;1326;1342;16;4.682;7.0
82;"931";"91";"29";42;159;1351;1374;23;11.047;16.6
83;"932";"93";"29";159;42;1375;1392;17;1.835;2.8
84;"0";"1000";"0";28;28;1680;1680;0;0.0;0.0
