Index;ID;Spoj;Linka;ZastavkaStart;ZastavkaFinish;CasStart;CasFinish;Trvanie;Vzdialenost;Spotreba
0;"0";"1000";"0";28;28;240;240;0;0.0;0.0
1;"1";"4";"1";112;112;295;347;52;16.272;24.4
2;"473";"25";"16";49;49;300;338;38;11.335;17.0
3;"10";"70";"1";112;93;309;335;26;7.306;11.0
4;"11";"74";"1";112;92;322;351;29;8.325;12.5
5;"487";"136";"16";49;49;325;363;38;11.335;17.0
6;"474";"28";"16";49;49;350;388;38;11.335;17.0
7;"2";"7";"1";112;112;362;414;52;16.272;24.4
8;"469";"10";"16";49;49;365;403;38;11.335;17.0
9;"488";"139";"16";49;49;385;423;38;11.335;17.0
10;"475";"31";"16";49;49;395;433;38;11.335;17.0
11;"470";"13";"16";49;49;410;448;38;11.335;17.0
12;"3";"10";"1";112;112;422;474;52;16.272;24.4
13;"481";"53";"16";49;49;425;463;38;11.335;17.0
14;"476";"34";"16";49;49;445;483;38;11.335;17.0
15;"471";"16";"16";49;49;455;493;38;11.335;17.0
16;"4";"13";"1";112;112;502;554;52;16.272;24.4
17;"5";"16";"1";112;112;562;614;52;16.272;24.4
18;"6";"22";"1";112;112;742;794;52;16.272;24.4
19;"491";"160";"16";49;49;785;823;38;11.335;17.0
20;"7";"25";"1";112;112;802;854;52;16.272;24.4
21;"477";"40";"16";49;49;805;843;38;11.335;17.0
22;"482";"58";"16";49;49;825;863;38;11.335;17.0
23;"492";"163";"16";49;49;845;883;38;11.335;17.0
24;"8";"28";"1";112;112;862;914;52;16.272;24.4
25;"478";"43";"16";49;49;865;903;38;11.335;17.0
26;"486";"124";"16";49;49;885;923;38;11.335;17.0
27;"493";"166";"16";49;49;905;943;38;11.335;17.0
28;"9";"31";"1";112;112;922;974;52;16.272;24.4
29;"484";"98";"16";49;49;925;963;38;11.335;17.0
30;"472";"20";"16";49;49;945;983;38;11.335;17.0
31;"494";"169";"16";49;49;965;1003;38;11.335;17.0
32;"485";"101";"16";49;49;985;1023;38;11.335;17.0
33;"490";"148";"16";49;49;1005;1043;38;11.335;17.0
34;"489";"142";"16";49;49;1025;1063;38;11.335;17.0
35;"480";"49";"16";49;49;1045;1083;38;11.335;17.0
36;"479";"46";"16";49;49;1065;1103;38;11.335;17.0
37;"483";"87";"16";49;49;1085;1122;37;11.335;17.0
38;"0";"1000";"0";28;28;1680;1680;0;0.0;0.0
